[ 2025-04-04 02:17:53,968 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-04 02:18:00,321 ] 71 root - INFO - Performed train test split on the dataframe
[ 2025-04-04 02:18:00,321 ] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-04 02:18:00,321 ] 81 root - INFO - Exporting train and test file path.
[ 2025-04-04 02:18:00,365 ] 90 root - INFO - Exported train and test file path.
[ 2025-04-04 02:18:00,365 ] 22 root - INFO - Data Initiation Completed
[ 2025-04-04 02:18:00,421 ] 26 root - INFO - Initiate data validation
[ 2025-04-04 02:18:00,470 ] 33 root - INFO - Required number of columns:2
[ 2025-04-04 02:18:00,470 ] 34 root - INFO - Data frame has columns:31
[ 2025-04-04 02:18:00,471 ] 33 root - INFO - Required number of columns:2
[ 2025-04-04 02:18:00,471 ] 34 root - INFO - Data frame has columns:31
[ 2025-04-04 02:18:00,721 ] 28 root - INFO - Data Validation Completed
[ 2025-04-04 02:18:00,721 ] 31 root - INFO - data tranformation started
[ 2025-04-04 02:18:00,721 ] 40 root - INFO - entered data trnaformation method of dataTransforamtion class
[ 2025-04-04 02:18:00,721 ] 42 root - INFO - Starting data transformation
[ 2025-04-04 02:18:00,740 ] 31 root - INFO - entered get_data_y=transformer_object method of Transformtion class
[ 2025-04-04 02:18:00,773 ] 43 root - INFO - entered the save_object method of mainUtils class
[ 2025-04-04 02:18:00,777 ] 47 root - INFO - Exited the save_object method of MainUtls class
[ 2025-04-04 02:18:00,778 ] 35 root - INFO - data tranforamtion completed
